station,seg_slope,slope
0,0,0
0,1520,3
0, 6200,-8
0, 12310,3
0, 19090,10
0, 35100,0
0, 46110,0
1,0,0
1,1000,7
1,7500,-8
1,12500,0
1,20000,3
1,27100,-4
1,31230,8
1,36000,-5
1,39150,-7
1,41870,1
1,42870,0
2,0,0
2,1000,0
2,7480,-8
2,14400,-3
2,21600,6
2,31280,-7
2,44050,0
2,46050,-1
2,49000,-2
2,53100,2
2,64370,0
3,0,0
3,4000,2
3,6400,6
3,10350,-4
3, 17430,-7
3,22430,7
3,31680,-2
3,45000,-4
3,61300,4
3,67840,-5
3,70160,0
4,0,0
4,2000,-2
4,6510,2
4,9520,-3
4,12610,-6
4,26400,2
4,30010,6
4,35460,2
4,37650,0
5,0,0
5,1000,0
5,9710,-5
5,11790,-8
5,18180,4
5,24310,-1
5,29500,-8
5,35320,5
5,40000,12
5,42850,5
5,43850,0